CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;85325.9;-12766.9;81219.2;17847.5
2;83359.2;-15611.3;79458.3;17402.5
3;83165.6;-17732.8;79530.5;17421.7
4;82968.5;-16071.9;79096.7;17310.9
5;84436.5;-15532.4;80615.3;17693.6
6;81778.2;-18922.9;78155.5;17067.4
7;85501.3;-11969.5;81312.8;17871.1
8;83071.6;-17113.6;79345.1;17373.5
9;84054.5;-15452.2;80189.6;17585.9
10;83566.8;-16074.7;79743.6;17468.4
11;85250.0;-12442.0;81096.4;17812.3
12;82106.8;-17474.0;78335.4;17114.0
13;83627.8;-15164.2;79690.1;17456.2
14;83426.5;-16479.3;79644.3;17445.0
15;84934.1;-12986.9;80823.3;17750.5
16;82864.4;-16849.2;79084.0;17306.5
17;83763.8;-14981.7;79813.3;17486.9
18;83146.3;-15815.3;79254.9;17348.7
19;83858.9;-15486.8;79981.2;17528.9
20;84434.3;-13901.4;80398.1;17635.8
21;82825.4;-17154.6;79084.0;17306.5
22;84911.6;-13217.9;80827.9;17751.4
23;84729.2;-13352.2;80647.3;17701.6
24;84226.8;-15125.1;80333.4;17623.1
25;84680.0;-13758.6;80645.3;17701.5
26;83276.0;-15885.6;79402.9;17387.2
27;83732.0;-15564.6;79854.3;17495.1
28;82928.8;-17286.7;79212.3;17333.7
29;83479.3;-16680.7;79729.5;17464.8
30;84373.9;-14100.0;80358.0;17627.4
31;83268.2;-15915.9;79399.4;17386.6
32;83573.2;-15128.3;79627.6;17442.9
33;82975.3;-18312.9;79400.7;17387.0
34;83164.7;-15839.7;79277.9;17356.5
35;83316.1;-15573.6;79407.6;17392.3
36;83907.2;-14633.3;79924.0;17515.3
37;82936.1;-16147.3;79071.9;17305.0
38;84009.9;-15335.0;80125.7;17570.9
39;85420.3;-12220.8;81254.2;17853.3
40;84590.7;-13562.5;80524.2;17670.8
41;83713.8;-15276.9;79797.1;17482.2
42;83135.9;-15843.5;79247.2;17346.9
43;83001.0;-17771.3;79355.9;17375.8
44;85458.0;-12011.5;81271.0;17859.9
45;83978.9;-14525.3;79986.8;17529.6
46;83303.9;-15914.5;79437.7;17396.3
47;84099.3;-14321.1;80094.1;17561.3
48;85810.3;-11458.1;81586.0;17937.3
49;83912.1;-15477.9;80037.9;17546.4
50;84473.8;-13799.6;80428.0;17644.6
51;84192.5;-14193.7;80175.5;17582.3
52;83557.8;-15579.8;79668.3;17449.7
53;82862.1;-16626.3;79053.3;17299.9
54;83597.6;-15257.8;79669.5;17450.0
55;83745.2;-14916.1;79785.1;17476.8
56;84456.7;-13767.5;80405.2;17636.0
57;84576.9;-14222.6;80594.8;17691.5
58;84751.2;-13304.4;80665.0;17706.0
59;84180.9;-14240.8;80168.7;17578.2
60;84445.6;-15570.4;80630.4;17696.3
61;83189.9;-16179.5;79349.5;17374.1
62;85025.2;-13006.5;80923.9;17776.2
63;84366.9;-14036.4;80343.0;17624.0
64;83657.4;-15059.1;79708.6;17460.2
65;84066.8;-16297.4;80317.6;17621.9
66;83861.3;-14802.1;79895.1;17504.1
67;84831.4;-13843.5;80822.2;17750.4
68;85081.6;-14162.5;81135.5;17822.0
69;85902.8;-11210.7;81656.5;17950.0
70;82681.0;-16545.8;78846.3;17245.7
71;82544.9;-17419.2;78809.2;17237.5
72;83476.8;-15310.0;79546.9;17426.7
73;84009.8;-14878.4;80066.2;17557.7
74;84694.1;-13452.7;80621.9;17694.6
75;84046.8;-15507.0;80188.4;17584.6
76;82142.3;-17434.0;78368.9;17120.4
77;83288.7;-17994.7;79699.1;17459.6
78;84641.9;-13622.1;80587.2;17687.8
79;84131.8;-14266.1;80122.4;17569.5
80;84319.5;-15904.8;80539.4;17675.5
81;83690.3;-15217.4;79764.3;17474.7
82;83732.3;-15055.6;79788.6;17478.5
83;84096.5;-14318.5;80090.8;17560.9
84;84296.8;-14024.8;80266.0;17603.4
85;84042.3;-14861.2;80098.5;17561.9
86;83837.0;-16082.3;80037.8;17546.3
87;83321.7;-15533.8;79408.7;17393.4
88;84262.7;-14078.3;80236.1;17596.7
89;83964.8;-15036.4;80038.0;17546.5
90;84928.6;-13009.9;80820.1;17747.2
91;84994.0;-12903.9;80876.9;17759.8
92;84094.2;-14359.7;80090.7;17560.8
93;83593.2;-15162.0;79652.8;17445.7
94;83353.9;-15486.5;79436.6;17396.1
95;84057.2;-16028.9;80272.8;17605.5
96;83994.7;-14511.2;80002.3;17535.8
97;83620.4;-15112.6;79675.8;17451.4
98;83934.0;-14862.7;79981.3;17529.0
99;83366.6;-15472.0;79448.8;17401.7
100;84218.4;-16315.5;80484.7;17659.2
101;83530.7;-15220.4;79593.5;17435.7
102;85019.9;-12860.6;80899.3;17764.9
103;84120.0;-15422.7;80256.6;17600.9
104;84460.1;-13788.8;80411.7;17639.6
105;82906.1;-16500.5;79084.3;17307.0
106;84082.4;-14324.2;80073.8;17558.5
107;84594.0;-13525.8;80523.2;17669.7
108;83080.3;-15953.8;79200.2;17330.1
109;83578.2;-15887.5;79730.6;17464.9
110;83881.2;-15289.2;79979.7;17527.1
111;82660.9;-16905.8;78869.7;17249.8
112;84120.3;-14894.2;80187.4;17584.6
113;84544.6;-14540.5;80601.2;17692.1
114;83075.6;-16519.6;79270.0;17353.3
115;84196.1;-14495.0;80216.5;17591.4
116;82680.5;-17062.3;78912.6;17263.1
117;83789.7;-15545.7;79914.4;17512.1
118;82352.9;-18019.5;78675.2;17202.3
119;84931.3;-12944.5;80814.7;17744.5
120;84079.6;-15787.1;80264.9;17603.3
121;83754.4;-15887.3;79922.2;17513.3
122;83228.3;-15711.2;79330.2;17371.3
