CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;99373.5;-10719.1;95879.8;23628.5
2;97039.4;-13897.4;93749.4;23068.0
3;97076.2;-14110.2;93825.4;23085.2
4;96574.4;-14452.9;93317.5;22951.0
5;98543.6;-12123.0;95161.0;23433.9
6;95298.2;-16332.6;92156.6;22647.8
7;99529.2;-10421.6;96009.7;23658.8
8;96861.1;-14277.3;93609.5;23025.1
9;97989.1;-12794.2;94641.0;23303.8
10;97401.9;-13549.9;94099.8;23159.0
11;99214.4;-10903.0;95726.9;23581.0
12;95555.9;-15785.3;92374.3;22707.1
13;97338.2;-13506.1;94022.5;23143.8
14;97252.1;-13761.8;93965.9;23124.5
15;98880.5;-11396.0;95425.7;23499.2
16;96533.1;-14593.4;93292.9;22942.7
17;97513.2;-13287.5;94184.3;23189.5
18;96773.3;-14211.8;93501.4;23002.0
19;97730.7;-13097.4;94397.6;23240.6
20;98281.4;-12247.6;94884.3;23366.4
21;96525.7;-14644.9;93292.9;22942.6
22;98884.5;-11419.8;95434.2;23504.1
23;98631.3;-11754.4;95200.9;23445.8
24;98177.6;-12523.7;94811.0;23349.9
25;98618.9;-11824.7;95197.8;23444.8
26;96971.7;-14018.4;93691.1;23044.8
27;97558.0;-13310.6;94237.1;23200.7
28;96690.5;-14478.6;93450.9;22986.0
29;97372.3;-13646.8;94082.8;23155.4
30;98225.5;-12342.6;94836.5;23356.2
31;96962.9;-14032.1;93683.6;23044.1
32;97260.9;-13589.1;93949.2;23122.4
33;96924.2;-14336.2;93689.9;23044.5
34;96805.2;-14185.9;93532.4;23007.8
35;96990.3;-13953.0;93701.9;23047.9
36;97673.5;-13064.2;94328.5;23220.0
37;96535.8;-14500.5;93281.8;22940.2
38;97910.7;-12870.2;94564.4;23280.7
39;99425.7;-10586.2;95918.5;23638.3
40;98453.8;-11990.4;95038.6;23409.1
41;97477.5;-13369.8;94157.2;23182.9
42;96766.0;-14222.8;93494.8;23000.2
43;96860.3;-14354.7;93621.3;23027.3
44;99464.7;-10514.2;95951.1;23643.8
45;97753.2;-12955.4;94401.1;23242.3
46;97010.1;-13974.9;93727.9;23057.8
47;97884.2;-12782.4;94520.9;23270.1
