CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;17582.3;-5794.4;16986.0;-523.6
2;15709.5;-5738.4;15121.3;-628.7
3;15775.3;-5749.4;15187.4;-620.7
4;15327.3;-5574.6;14736.0;-645.7
5;16941.0;-5905.9;16351.4;-556.7
6;14321.0;-4888.0;13713.0;-702.2
7;17681.3;-5771.9;17084.1;-518.6
8;15585.2;-5689.3;14996.2;-632.7
9;16479.1;-5909.3;15892.0;-585.7
10;16008.5;-5829.4;15421.6;-610.7
11;17445.8;-5836.6;16850.9;-537.6
12;14518.1;-5052.2;13914.2;-692.0
13;15952.7;-5809.7;15365.5;-609.7
14;15896.9;-5788.7;15309.5;-613.7
15;17166.4;-5879.9;16574.6;-549.7
16;15306.5;-5566.6;14714.9;-649.7
17;16069.4;-5840.4;15482.6;-603.7
18;15485.0;-5644.8;14895.1;-636.7
19;16253.4;-5888.7;15666.8;-604.7
20;16705.2;-5915.7;16117.2;-569.7
21;15305.4;-5565.3;14713.9;-648.7
22;17178.6;-5870.8;16586.6;-544.6
23;16972.1;-5909.8;16382.5;-558.7
24;16634.8;-5918.0;16047.2;-575.7
25;16972.1;-5911.0;16382.5;-559.7
26;15647.9;-5707.1;15059.3;-624.7
27;16114.5;-5848.7;15527.7;-600.7
28;15443.1;-5628.9;14853.1;-638.7
29;15994.5;-5826.7;15407.6;-610.7
30;16663.9;-5921.4;16076.2;-575.7
31;15642.9;-5706.5;15054.2;-625.7
32;15887.1;-5784.1;15299.5;-614.7
33;15646.9;-5707.8;15058.2;-625.7
34;15515.8;-5659.7;14926.1;-636.7
35;15660.8;-5713.5;15072.3;-624.7
36;16206.5;-5859.2;15619.8;-588.7
37;15290.6;-5558.2;14698.9;-649.7
38;16417.8;-5902.9;15830.9;-587.7
39;17609.6;-5786.0;17013.0;-520.6
40;16842.2;-5911.2;16253.3;-560.7
41;16059.5;-5842.3;15472.6;-608.7
42;15479.0;-5642.6;14889.1;-636.7
43;15598.2;-5697.6;15009.2;-635.7
44;17637.9;-5779.9;17041.1;-519.6
45;16261.5;-5888.1;15674.8;-602.7
46;15688.7;-5727.5;15100.3;-626.7
47;16373.8;-5894.4;15786.9;-588.7
48;17983.7;-5702.9;17383.4;-509.6
49;16317.6;-5891.9;15730.9;-595.7
50;16734.4;-5913.9;16146.2;-566.7
51;16466.1;-5906.1;15879.0;-584.7
52;15920.8;-5802.9;15333.5;-612.7
53;15269.0;-5543.6;14676.9;-650.7
54;15923.7;-5806.5;15336.5;-614.7
55;16042.5;-5836.2;15455.6;-607.7
56;16708.2;-5915.5;16120.2;-569.7
57;16920.7;-5910.6;16331.4;-558.7
58;16996.6;-5906.2;16406.5;-558.7
59;16455.1;-5904.7;15868.0;-585.7
60;16959.2;-5906.5;16369.4;-557.7
61;15590.2;-5691.1;15001.2;-632.7
62;17268.5;-5871.8;16675.7;-546.6
63;16641.9;-5915.8;16054.2;-573.7
64;15970.5;-5819.7;15383.5;-611.7
65;16626.7;-5922.8;16039.1;-579.7
66;16152.5;-5853.4;15565.7;-596.7
67;17164.3;-5880.0;16572.6;-549.7
68;17496.3;-5816.7;16900.9;-528.6
69;18055.0;-5675.9;17453.4;-501.6
70;15062.1;-5429.9;14467.7;-658.7
71;15018.8;-5400.0;14423.7;-658.7
72;15795.3;-5756.6;15207.4;-620.7
73;16351.7;-5897.4;15764.9;-594.7
74;16950.1;-5907.4;16360.4;-557.7
75;16479.1;-5909.7;15892.0;-585.7
76;14546.5;-5075.9;13943.2;-691.0
77;15963.7;-5815.3;15376.5;-611.7
78;16912.7;-5907.8;16323.4;-556.7
79;16411.8;-5902.3;15824.9;-587.7
80;16853.2;-5913.6;16264.3;-561.7
81;16029.6;-5831.8;15442.6;-607.7
82;16048.5;-5838.0;15461.6;-607.7
83;16371.7;-5896.7;15784.9;-590.7
84;16556.5;-5909.9;15969.1;-576.7
85;16384.7;-5897.8;15797.9;-588.7
86;16315.6;-5891.9;15728.9;-595.7
87;15660.8;-5713.5;15072.3;-624.7
88;16533.3;-5911.5;15946.1;-580.7
89;16318.6;-5892.0;15731.9;-595.7
90;17162.3;-5877.3;16570.6;-547.7
91;17222.9;-5872.2;16630.7;-542.6
92;16370.7;-5896.7;15783.9;-590.7
93;15905.7;-5799.2;15318.5;-613.7
94;15685.7;-5728.4;15097.3;-628.7
95;16570.4;-5914.3;15983.1;-578.7
96;16284.4;-5890.1;15697.8;-598.7
97;15928.7;-5809.3;15341.5;-615.7
98;16256.3;-5890.7;15669.8;-604.7
99;15702.6;-5731.3;15114.3;-625.7
100;16801.8;-5916.4;16213.3;-565.7
101;15849.0;-5770.6;15261.4;-613.7
102;17247.2;-5869.6;16654.7;-542.6
103;16548.5;-5908.2;15961.1;-576.7
104;16710.2;-5913.2;16122.2;-567.7
105;15311.4;-5569.6;14719.9;-649.7
106;16358.7;-5898.1;15771.9;-593.7
107;16841.1;-5913.7;16252.3;-562.7
108;15423.4;-5619.6;14833.0;-640.7
109;15997.4;-5829.2;15410.6;-611.7
110;16242.4;-5888.4;15655.8;-605.7
111;15077.1;-5437.7;14482.7;-658.7
112;16478.1;-5909.8;15891.0;-585.7
113;16925.8;-5907.7;16336.4;-556.7
114;15501.9;-5650.5;14912.1;-634.7
115;16512.1;-5912.5;15925.0;-582.7
116;15129.3;-5463.7;14535.8;-650.7
117;16184.5;-5858.1;15597.7;-592.7
118;14879.7;-5318.1;14282.5;-670.7
119;17157.3;-5875.6;16565.6;-545.6
120;16556.4;-5911.4;15969.1;-577.7
121;16196.5;-5857.8;15609.8;-589.7
122;15570.4;-5685.0;14981.2;-636.7
123;17287.6;-5863.6;16694.7;-541.6
124;17869.6;-5719.7;17270.3;-507.6
125;14682.9;-5179.9;14082.4;-680.9
126;17251.2;-5869.7;16658.7;-542.6
127;17584.4;-5794.0;16988.0;-523.6
128;16503.1;-5908.3;15916.0;-580.7
129;15219.4;-5518.0;14626.9;-651.7
130;16939.0;-5908.4;16349.4;-558.7
131;16063.6;-5838.2;15476.6;-605.7
132;15715.4;-5740.6;15127.3;-627.7
133;15196.6;-5510.5;14603.8;-656.7
