CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;20366.8;-4187.4;19700.5;-380.6
2;14701.5;-5193.8;14101.4;-678.8
3;14906.3;-5333.7;14309.6;-667.7
4;13578.7;-4095.6;12949.3;-739.8
5;18402.2;-5554.3;17794.7;-477.6
6;10715.1;3175.4;9871.5;-905.3
7;20678.0;-3842.1;19997.7;-360.5
8;14336.7;-4899.1;13729.0;-700.2
9;17017.7;-5902.6;16427.5;-555.7
10;15598.2;-5696.5;15009.2;-634.7
11;19939.6;-4595.9;19290.1;-403.6
12;11254.9;921.3;10478.1;-875.2
13;15411.5;-5612.9;14821.0;-640.7
14;15259.1;-5541.4;14666.9;-652.7
15;19093.3;-5221.8;18470.4;-447.6
16;13508.4;-4009.5;12876.3;-748.9
17;15789.3;-5752.0;15201.4;-619.7
18;14049.7;-4628.6;13434.8;-716.4
19;16321.6;-5891.8;15734.9;-594.7
20;17685.4;-5771.0;17088.1;-518.6
21;13507.4;-4007.7;12875.3;-747.9
22;19120.2;-5201.5;18496.4;-445.6
23;18497.0;-5519.7;17887.8;-475.6
24;17485.2;-5816.3;16889.9;-526.6
25;18496.0;-5520.3;17886.8;-475.6
26;14522.9;-5056.9;13919.2;-692.0
27;15906.7;-5798.1;15319.5;-612.7
28;13905.6;-4480.1;13286.6;-725.5
29;15551.4;-5674.6;14962.2;-632.7
30;17553.0;-5801.9;16957.0;-524.6
31;14502.4;-5038.5;13898.2;-692.0
32;15227.3;-5523.7;14634.9;-652.7
33;14518.1;-5053.8;13914.2;-693.0
34;14128.6;-4706.7;13515.8;-711.3
35;14553.4;-5083.7;13950.2;-693.0
36;16186.5;-5859.1;15599.7;-592.7
37;13467.8;-3954.7;12834.2;-748.9
38;16805.9;-5915.0;16217.3;-564.7
39;20453.5;-4098.9;19783.6;-376.6
40;18092.6;-5666.9;17490.5;-500.6
41;15736.5;-5746.1;15148.3;-625.7
42;14024.5;-4598.9;13408.7;-715.4
43;14370.0;-4928.4;13763.1;-698.1
44;20540.5;-4002.1;19866.6;-370.5
45;16341.6;-5894.7;15754.9;-593.7
46;14636.9;-5141.0;14035.3;-681.9
47;16697.2;-5917.1;16109.2;-571.7
48;21620.0;-2600.8;20889.6;-321.5
49;16519.2;-5910.8;15932.0;-580.7
50;17769.3;-5746.2;17171.2;-513.6
51;16972.1;-5911.0;16382.5;-559.7
52;15339.1;-5580.1;14748.0;-643.7
53;13407.7;-3876.9;12772.2;-750.9
54;15350.1;-5586.6;14759.0;-645.7
55;15694.6;-5730.9;15106.3;-626.7
56;17693.5;-5771.0;17096.1;-519.6
57;18339.9;-5580.9;17733.7;-482.6
58;18572.7;-5488.3;17961.9;-471.6
59;16934.9;-5911.8;16345.4;-560.7
60;18456.2;-5541.2;17847.8;-481.6
61;14351.5;-4910.0;13744.1;-698.1
62;19396.2;-5025.4;18764.6;-434.6
63;17510.6;-5813.7;16914.9;-528.6
64;15475.0;-5641.6;14885.1;-637.7
65;17448.8;-5834.4;16853.9;-536.6
66;16028.6;-5831.5;15441.6;-607.7
67;19085.9;-5231.9;18463.4;-449.6
68;20088.5;-4453.1;19433.2;-391.6
69;21842.4;-2239.7;21097.8;-305.5
70;12798.7;-2946.5;12136.6;-783.5
71;12684.5;-2746.0;12016.5;-791.6
72;14962.6;-5375.9;14366.6;-670.7
73;16615.6;-5923.5;16028.1;-580.7
74;18429.9;-5547.2;17821.8;-480.6
75;17011.6;-5905.6;16421.5;-557.7
76;11337.0;624.0;10569.2;-872.1
77;15455.3;-5633.5;14865.1;-639.7
78;18306.4;-5589.9;17700.7;-483.6
79;16794.8;-5919.8;16206.3;-568.7
80;18140.4;-5647.8;17537.5;-493.6
81;15662.8;-5713.4;15074.3;-623.7
82;15715.5;-5737.8;15127.3;-625.7
83;16687.0;-5920.4;16099.2;-571.7
84;17249.1;-5867.8;16656.7;-540.6
85;16712.2;-5913.7;16124.2;-567.7
86;16514.2;-5911.4;15927.0;-581.7
87;14554.4;-5084.3;13951.2;-693.0
88;17164.3;-5880.0;16572.6;-549.7
89;16522.3;-5907.6;15935.0;-578.7
90;19082.9;-5230.3;18460.3;-447.6
91;19260.2;-5112.3;18632.5;-437.6
92;16683.0;-5920.6;16095.2;-572.7
93;15282.8;-5551.7;14690.9;-649.7
94;14633.9;-5143.1;14032.3;-684.9
95;17285.6;-5864.0;16692.7;-541.6
96;16415.8;-5902.2;15828.9;-587.7
97;15358.1;-5591.3;14767.0;-646.7
98;16326.6;-5893.4;15739.9;-594.7
99;14679.9;-5178.5;14079.4;-680.9
100;17979.7;-5700.7;17379.4;-507.6
101;15105.7;-5451.4;14511.8;-653.7
102;19327.2;-5062.1;18697.6;-428.6
103;17236.0;-5871.0;16643.7;-542.6
104;17713.5;-5765.4;17116.1;-516.6
105;13520.8;-4024.4;12889.3;-745.9
106;16638.8;-5915.8;16051.2;-573.7
107;18087.5;-5668.3;17485.5;-500.6
108;13863.8;-4431.5;13243.6;-725.6
109;15555.4;-5678.0;14966.2;-634.7
110;16299.6;-5892.0;15712.8;-598.7
111;12854.1;-3045.5;12194.6;-785.4
112;17009.6;-5906.0;16419.5;-557.7
113;18358.3;-5572.4;17751.7;-480.6
114;14095.6;-4669.7;13481.8;-711.4
115;17101.4;-5898.8;16510.6;-553.7
116;12998.4;-3276.6;12345.8;-772.3
117;16120.4;-5852.6;15533.7;-602.7
118;12276.8;-1939.8;11585.1;-815.9
119;19058.5;-5236.1;18436.3;-444.6
120;17247.2;-5869.6;16654.7;-542.6
121;16153.5;-5853.9;15566.7;-596.7
122;14295.7;-4864.2;13687.0;-704.2
123;19452.9;-4983.3;18819.7;-428.6
124;21267.4;-3101.9;20557.3;-330.5
125;11713.8;-560.7;10981.5;-847.8
126;19357.0;-5048.1;18726.6;-431.6
127;20374.1;-4177.1;19707.5;-377.6
128;17067.0;-5898.4;16476.5;-550.7
129;13274.7;-3695.5;12634.0;-759.1
130;18398.1;-5560.7;17790.7;-481.6
131;15766.3;-5747.4;15178.4;-621.7
