-6.333924499619964j,6.333924499619964j,0j,0j
6.333924499619964j,-6.433924499619963j,0.1j,0j
0j,0.1j,-6.433924499619963j,6.333924499619964j
0j,0j,6.333924499619964j,-6.333924499619964j
