-6.333924499619964j,6.333924499619964j,0j,0j
6.333924499619964j,-6.333924509619964j,1e-08j,0j
0j,1e-08j,-6.333924509619964j,6.333924499619964j
0j,0j,6.333924499619964j,-6.333924499619964j
