AREA REPORT

GERACAO
AREA;GERACAO;DEMANDA;BARRAS
1;0;0;0;0;0;0;0;0.0074;0.0074
401;0;0;0;0;0;0;0;0;0
520;0;0;135.0;0;0;0;159.7;0;294.7
404;0;0;0;0;0;0;308.0;0;308.0
5;0;0;0;0;0;0;0;8.2;8.2
4;0;0;0;51.9;0;0;0;76.66900000000001;128.56900000000002
362;0;0;0;0;0;0;0;0;0
262;0;0;4.7;0;0;0;0;0;4.7
215;0;0;0;0;0;0;193.0;594.1336999999996;787.1336999999995
104;0;0;0;0;0;0;0;0;0
306;0;40.7;0.0;0;0;3.2;0;43.292600000000014;87.1926
305;0;12.0;0.7808;0;0;30.200000000000003;0;28.544600000000006;71.5254
303;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0
516;0;0;0;0;0;0;0;20.6;20.6
301;0;0;0;0;0;0;0;0;0
307;0;0;0.0;0;0;0;38.9;0;38.9
361;0;0;0.0;0;0;22.6;0;46.47830000000001;69.0783
477;0;76.7;28.2;0;0;362.3;0;619.9609000000003;1087.1609
473;0;0;17.0;0;0.2;95.5;0;131.37229999999997;244.07229999999998
476;0;0;0;0;0;3.1;15.1;6.175999999999999;24.376
475;0;0;0;0;0;10.9;7.3;35.5;53.699999999999996
478;0;0;0;0;0;0;0;81.1101;81.1101
514;0;0;0;0;0;0;0;18.6;18.6
479;0;0;0;0;0;118.19999999999999;0;0;118.19999999999999
471;0;980.0;0;0;0;0;0;0;980.0
474;0;0;0;0;0;16.1;0;43.266;59.366
480;0;0;0;0;0;0;0;0;0
481;0;0;0;0;0;0;0.0;13.138;13.138
711;0;814.0;0.0;302.0;0;0;0;0;1116.0000000000002
741;0;0;0;3037.3999999999996;693.2;0;0;0;3730.599999999999
712;0;0.0;93.0;503.80000000000007;0;0;0;0;596.8000000000001
762;0;0;0.0;1369.4;661.1999999999999;0.0;0;0;2030.6000000000001
742;0;0;0.0;2220.2000000000007;372.0;0;0;0;2592.2000000000007
772;0;123.0;0;1093.8000000000002;300.09999999999997;0;0;0;1516.9000000000005
702;0;0;0;2934.8000000000006;349.5;0;0;0;3284.300000000001
703;0;0;0.0;339.90000000000003;141.6;0;0.0;350.2158999999999;831.7158999999998
721;0;1210.0;0;0;0;0;0;0;1210.0
743;0;0;0.0;369.0;0;0;0;486.653;855.653
763;0;0;0.0;46.9;42.9;0;0;597.5329;687.3329000000001
722;0;0;349.0;375.99999999999994;280.1;0;0;1.6;1006.6999999999998
723;0;0;0;0;65.0;0;0;413.61279999999994;478.61279999999994
864;0;0;0.0;0;0;0;0;211.99999999999997;211.99999999999997
771;0;0;0;1316.8999999999996;675.8;0;0;0;1992.7000000000003
724;0;0;0;0;0;0;0;0;0
761;0;0;0;0;0;0;0;0;0
773;0;0;0;0;0;0;0;339.06899999999996;339.06899999999996
222;0;0;0;0;0;0;0;0;0
764;0;0;196.5;0;0;0;0;0;196.5
866;0;0;190.0;0;0;0;0;0;190.0
865;0;0;0;0;0;0;0;65.64;65.64
861;0;850.0;481.0;251.0;0;0;0;0;1582.0
862;0;0;0.0;0;0;0;0;0;0.0
863;0;0;0;0;0;0;0;0;0
713;0;0.0;0.0;0;0;0;0;418.5969999999999;418.5969999999999
701;0;176.0;0;1209.6;630.9000000000001;0;0;0;2016.5
715;0;0;0;0;0;0;4.0;0;4.0
716;0;0;73.0;0;0;0;0;0;73.0
714;0;0;0;0;0;0;0;45.5;45.5
844;0;0;0;0;0;0;0;0;0
847;0;0;0;0;0;0;0;117.6;117.6
841;0;2499.0;0;0;0;0;0;0;2499.0
845;0;76.5;0;0;0;0;0;93.4;169.89999999999998
842;0;0.0;0;0;0;0;0;0;0.0
843;0;0;0;0;0;0;0;0;0
846;0;0;0;0;0;0;0;234.85999999999999;234.85999999999999
848;0;0;0;0;0;0;0;25.7;25.7
452;0;200.0;0.0;0;0;0;0;0;200.0
460;0;0;0;0;0;0;0;35.76;35.76
459;0;18.0;0.0;0;0;0;0;23.249;41.248999999999995
458;0;0;0;0;0;0;0;69.4091;69.4091
454;0;0;0;0;0;0;0;0;0
457;0;0;0;0;0;0;0;14.545000000000002;14.545000000000002
456;0;0;0;0;0;0;0;24.402;24.402
455;0;0;0;0;0;0;0;33.3;33.3
453;0;0;0;0;0;0;0;1.9;1.9
431;0;0;0;0;0;0;0;0;0
883;0;0;0;0;6.0;33.0;0;222.86620000000002;261.86620000000005
432;0;0;0;0;0;0;0;31.7;31.7
433;0;0;0;0;0;0;0;0.8;0.8
451;0;1401.8000000000002;0;0;0;0;0;0;1401.8000000000002
881;0;0;0;0;0;0;0;0;0
882;0;0;0;0;0;0;0;0;0
581;0;831.0;0;0;0;0;0;0;831.0
802;0;151.0;331.0;0;0;0;0;0;482.0
217;0;0;330.0;0;0;0;0;0;330.0
482;0;0;0;0;0;0;4.0;0;4.0
7;0;-67.4;0;0;0;0;0;0;-67.4
744;0;0;0;0;0;0;0;0;0
704;0;0;0;0;0;0;0;0.5;0.5
822;72.0;0;0;0;0;0;0;34.6;106.60000000000002
821;0;474.0;0;0;0;0;0;0;474.0
806;0;0;0;0;0;0;0;0;0
801;0;0;0;0;0;0;0;0;0
805;0;0;0;0;0;0;0;35.7;35.7
804;0;0;202.0;0;0;0;0;34.6;236.6
803;0;0;128.0;0.0;0;0;0;34.6;162.6
105;0;0;266.8;0;0;0;0;0;266.8
261;0;0;438.0;0;0;0;0;0;438.0
260;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
405;0;0;349.0;0;0;0;203.6;18.0;570.6

GERACAO POR NUMERO DE USINAS
AREA;UNE;UHE;UTE;EOL;UFV;PCH;BIO;OTHER;TOTAL
251;2;0;2;0;0;0;0;0;0
204;0;1;0;0;0;0;0;0;0
255;0;6;1;0;0;2;0;21;0
352;0;6;0;0;6;0;0;0;0
351;0;5;0;0;9;0;0;0;0
472;0;6;0;0;0;0;4;0;0
513;0;10;1;0;0;0;0;0;0
208;0;5;0;0;0;3;33;105;0
202;0;0;0;0;0;0;0;0;0
254;0;0;12;0;0;0;0;91;0
512;0;1;0;0;0;0;0;0;0
511;0;1;0;0;0;0;0;0;0
302;0;0;8;0;0;0;0;0;0
252;0;0;7;0;0;0;0;0;0
201;0;0;0;0;0;0;0;0;0
240;0;1;0;0;0;0;0;0;0
101;0;4;0;0;0;0;0;0;0
241;0;1;0;0;0;0;0;0;0
256;0;0;11;0;0;0;0;23;0
205;0;6;4;0;0;0;0;0;0
359;0;3;0;0;0;4;0;43;0
207;2;3;0;0;0;0;11;101;0
258;0;2;0;0;0;0;0;17;0
259;0;0;5;1;0;2;0;17;0
304;0;0;5;0;0;0;0;20;0
214;0;0;0;0;0;0;0;0;0
358;0;5;1;0;4;0;1;51;0
563;0;0;0;0;0;0;0;0;0
562;0;0;0;0;0;0;0;0;0
564;0;2;0;0;0;3;0;50;0
353;0;5;0;0;8;0;0;0;0
561;0;0;0;0;0;0;0;0;0
517;0;3;3;0;0;3;2;23;0
518;0;0;0;0;0;0;1;14;0
253;0;0;0;0;0;0;0;0;0
257;0;1;0;0;0;13;0;15;0
213;0;1;0;0;0;4;0;2;0
363;0;0;0;0;0;0;12;12;0
355;0;3;1;0;0;2;0;26;0
354;0;0;3;0;0;1;2;54;0
356;0;3;1;0;14;2;0;44;0
357;0;2;0;0;0;5;0;37;0
360;1;0;0;0;0;1;1;22;0
212;0;0;2;0;0;0;0;12;0
209;0;5;5;0;7;0;27;89;0
203;0;7;0;0;0;0;0;0;0
211;0;0;0;0;0;1;3;36;0
206;0;4;0;0;0;0;0;30;0
210;0;5;0;0;1;0;18;28;0
402;0;0;0;0;0;0;0;0;0
216;0;0;0;0;0;0;0;0;0
515;0;0;5;0;0;5;1;37;0
519;0;0;0;0;0;0;0;1;0
102;0;5;2;0;0;2;0;0;0
103;0;2;3;0;0;1;1;210;0
51;0;2;0;0;0;0;0;0;0
53;0;2;2;2;0;0;0;170;0
52;0;5;3;0;0;0;0;0;0
2;0;7;6;21;0;4;0;0;0
403;0;1;7;0;0;6;0;52;0
3;0;6;1;11;0;3;0;220;0
1;0;0;0;0;0;0;0;1;0
401;0;0;0;0;0;0;0;0;0
520;0;0;3;0;0;0;4;0;0
404;0;0;0;0;0;0;3;0;0
5;0;0;0;0;0;0;0;1;0
4;0;0;0;2;0;0;0;15;0
362;0;0;0;0;0;0;0;0;0
262;0;0;1;0;0;0;0;0;0
215;0;0;0;0;0;0;8;94;0
104;0;0;0;0;0;0;0;0;0
306;0;3;4;0;0;1;0;33;0
305;0;1;1;0;0;8;0;26;0
303;0;0;0;0;0;0;0;0;0
54;0;0;0;0;0;0;0;0;0
516;0;0;0;0;0;0;0;1;0
301;0;0;0;0;0;0;0;0;0
307;0;0;3;0;0;0;2;0;0
361;0;0;1;0;0;5;0;38;0
477;0;4;8;0;0;59;0;104;0
473;0;0;2;0;1;11;0;21;0
476;0;0;0;0;0;1;1;5;0
475;0;0;0;0;0;1;1;3;0
478;0;0;0;0;0;0;0;17;0
514;0;0;0;0;0;0;0;2;0
479;0;0;0;0;0;8;0;0;0
471;0;4;0;0;0;0;0;0;0
474;0;0;0;0;0;1;0;6;0
480;0;0;0;0;0;0;0;0;0
481;0;0;0;0;0;0;1;2;0
711;0;1;2;5;0;0;0;0;0
741;0;0;0;63;14;0;0;0;0
712;0;16;7;11;0;0;0;0;0
762;0;0;4;37;14;2;0;0;0
742;0;0;8;53;8;0;0;0;0
772;0;2;0;21;11;0;0;0;0
702;0;0;0;60;6;0;0;0;0
703;0;0;1;14;4;0;1;22;0
721;0;3;0;0;0;0;0;0;0
743;0;0;2;11;0;0;0;28;0
763;0;0;1;3;1;0;0;25;0
722;0;0;17;9;5;0;0;1;0
723;0;0;0;0;3;0;0;42;0
864;0;0;1;0;0;0;0;17;0
771;0;0;0;21;9;0;0;0;0
724;0;0;0;0;0;0;0;0;0
761;0;0;0;0;0;0;0;0;0
773;0;0;0;0;0;0;0;23;0
222;0;0;0;0;0;0;0;0;0
764;0;0;2;0;0;0;0;0;0
866;0;0;1;0;0;0;0;0;0
865;0;0;0;0;0;0;0;4;0
861;0;1;7;6;0;0;0;0;0
862;0;0;5;0;0;0;0;0;0
863;0;0;0;0;0;0;0;0;0
713;0;3;1;0;0;0;0;42;0
701;0;1;0;26;8;0;0;0;0
715;0;0;0;0;0;0;1;0;0
716;0;0;1;0;0;0;0;0;0
714;0;0;0;0;0;0;0;7;0
844;0;0;0;0;0;0;0;0;0
847;0;0;0;0;0;0;0;7;0
841;0;6;0;0;0;0;0;0;0
845;0;6;0;0;0;0;0;11;0
842;0;3;0;0;0;0;0;0;0
843;0;0;0;0;0;0;0;0;0
846;0;0;0;0;0;0;0;10;0
848;0;0;0;0;0;0;0;2;0
452;0;3;2;0;0;0;0;0;0
460;0;0;0;0;0;0;0;2;0
459;0;1;1;0;0;0;0;2;0
458;0;0;0;0;0;0;0;5;0
454;0;0;0;0;0;0;0;0;0
457;0;0;0;0;0;0;0;3;0
456;0;0;0;0;0;0;0;2;0
455;0;0;0;0;0;0;0;3;0
453;0;0;0;0;0;0;0;1;0
431;0;0;0;0;0;0;0;0;0
883;0;0;0;0;2;2;0;33;0
432;0;0;0;0;0;0;0;6;0
433;0;0;0;0;0;0;0;1;0
451;0;5;0;0;0;0;0;0;0
881;0;0;0;0;0;0;0;0;0
882;0;0;0;0;0;0;0;0;0
581;0;2;0;0;0;0;0;0;0
802;0;1;3;0;0;0;0;0;0
217;0;0;1;0;0;0;0;0;0
482;0;0;0;0;0;0;1;0;0
7;0;1;0;0;0;0;0;0;0
744;0;0;0;0;0;0;0;0;0
704;0;0;0;0;0;0;0;1;0
822;2;0;0;0;0;0;0;11;0
821;0;3;0;0;0;0;0;0;0
806;0;0;0;0;0;0;0;0;0
801;0;0;0;0;0;0;0;0;0
805;0;0;0;0;0;0;0;1;0
804;0;0;5;0;0;0;0;1;0
803;0;0;6;1;0;0;0;1;0
105;0;0;3;0;0;0;0;0;0
261;0;0;3;0;0;0;0;0;0
260;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0
405;0;0;1;0;0;0;4;1;0

GERACAO POR TIPO DE USINA
AREA;UNE;UHE;UTE;EOL;UFV;PCH;BIO;OTHER;TOTAL
