(2.1419596343749037-22.896880899262882j),(-2.1419596343749037+24.972880899262883j),0j
(-2.1419596343749037+24.972880899262883j),(2.1419596343749037-41.62347265956251j),18.726591760299627j
0j,18.726591760299627j,-17.726591760299627j
