CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;18187.4;-4120.3;17438.4;-501.6
2;15728.5;-2784.7;14950.2;-634.7
3;15818.7;-2884.8;15043.2;-630.7
4;15235.0;-2168.4;14438.7;-661.7
5;17341.6;-3943.0;16592.6;-542.6
6;13944.1;293.0;13071.4;-736.7
7;18319.6;-4117.8;17569.5;-491.6
8;15566.6;-2603.8;14783.0;-646.7
9;16739.1;-3650.0;15984.1;-578.7
10;16120.6;-3182.0;15353.5;-613.7
11;18003.3;-4103.0;17255.3;-507.6
12;14191.5;-299.8;13337.7;-722.5
13;16037.7;-3096.9;15268.4;-611.7
14;15974.5;-3038.8;15203.4;-619.7
15;17642.9;-4022.7;16894.9;-525.6
16;15202.3;-2120.5;14404.7;-661.7
17;16206.6;-3261.3;15441.6;-609.7
18;15442.1;-2446.9;14653.9;-654.7
19;16439.9;-3451.4;15679.8;-600.7
20;17035.7;-3812.1;16284.4;-559.7
21;15202.3;-2119.4;14404.7;-660.7
22;17649.9;-4027.6;16901.9;-528.6
23;17382.3;-3961.3;16633.7;-542.6
24;16940.7;-3766.8;16188.3;-568.7
25;17382.3;-3961.3;16633.7;-542.6
26;15652.8;-2699.0;14872.1;-637.7
27;16255.7;-3292.5;15491.6;-600.7
28;15383.0;-2370.3;14592.8;-653.7
29;16098.2;-3157.8;15330.5;-612.7
30;16970.4;-3778.5;16218.3;-563.7
31;15643.1;-2689.9;14862.1;-639.7
32;15958.7;-3026.7;15187.4;-620.7
33;15649.9;-2698.3;14869.1;-639.7
34;15476.8;-2487.9;14689.9;-648.7
35;15665.4;-2714.4;14885.1;-637.7
36;16377.2;-3386.1;15615.8;-589.7
37;15187.8;-2104.7;14389.6;-665.7
38;16646.5;-3592.7;15890.0;-585.7
39;18226.5;-4126.9;17477.5;-500.6
40;17207.3;-3893.7;16457.5;-553.7
41;16184.2;-3237.8;15418.6;-610.7
42;15429.5;-2429.0;14640.9;-652.7
43;15581.1;-2619.5;14798.0;-644.7
44;18263.0;-4119.6;17513.5;-495.6
45;16450.5;-3461.7;15690.8;-599.7
46;15700.4;-2751.8;14921.1;-635.7
47;16599.1;-3559.4;15842.0;-584.7
48;18721.7;-4093.7;17967.9;-471.6
49;16523.5;-3511.3;15764.9;-594.7
50;17069.4;-3826.9;16318.4;-557.7
51;16714.6;-3630.1;15959.1;-577.7
52;16005.6;-3065.8;15235.4;-614.7
53;15160.8;-2069.1;14361.6;-667.7
54;16009.5;-3072.7;15239.4;-616.7
55;16164.7;-3220.6;15398.6;-610.7
56;17037.7;-3812.6;16286.4;-559.7
57;17311.7;-3933.1;16562.6;-545.6
58;17414.1;-3974.7;16665.7;-542.6
59;16704.6;-3628.2;15949.1;-580.7
60;17363.5;-3949.8;16614.7;-540.6
61;15574.3;-2610.1;14791.0;-643.7
62;17772.7;-4068.2;17025.0;-521.6
63;16954.4;-3775.5;16202.3;-567.7
64;16068.2;-3128.3;15299.5;-614.7
65;16928.7;-3760.8;16176.3;-568.7
66;16309.5;-3338.3;15546.7;-598.7
67;17640.0;-4021.7;16891.9;-526.6
68;18069.5;-4114.9;17321.3;-506.6
69;18818.3;-4073.6;18063.0;-464.6
70;14887.4;-1642.3;14075.4;-680.9
71;14839.7;-1565.7;14025.3;-684.9
72;15844.8;-2907.8;15070.3;-624.7
73;16568.5;-3543.0;15810.9;-589.7
74;17350.7;-3939.3;16601.7;-538.6
75;16735.3;-3647.4;15980.1;-579.7
76;14233.4;-396.1;13382.7;-720.4
77;16060.4;-3120.8;15291.5;-614.7
78;17301.7;-3929.8;16552.6;-546.6
79;16641.6;-3587.0;15885.0;-583.7
80;17228.0;-3902.6;16478.5;-550.7
81;16153.0;-3208.4;15386.5;-610.7
82;16173.3;-3231.1;15407.6;-610.7
83;16593.2;-3556.0;15836.0;-585.7
84;16841.6;-3712.5;16088.2;-571.7
85;16607.2;-3559.7;15850.0;-583.7
86;16521.5;-3510.1;15762.9;-594.7
87;15665.4;-2714.4;14885.1;-637.7
88;16802.4;-3685.4;16048.2;-573.7
89;16528.3;-3518.0;15769.9;-595.7
90;17635.9;-4020.2;16887.9;-525.6
91;17709.9;-4041.6;16962.0;-524.6
92;16593.2;-3556.0;15836.0;-585.7
93;15982.2;-3048.2;15211.4;-619.7
94;15699.4;-2749.3;14920.1;-634.7
95;16855.6;-3716.8;16102.2;-569.7
96;16477.2;-3480.0;15717.8;-597.7
97;16020.3;-3081.6;15250.4;-615.7
98;16440.9;-3452.3;15680.8;-600.7
99;15718.6;-2778.4;14940.1;-636.7
100;17156.9;-3871.4;16406.5;-558.7
101;15908.0;-2979.7;15135.3;-626.7
102;17740.0;-4049.6;16992.0;-524.6
103;16837.8;-3712.0;16084.2;-574.7
104;17045.6;-3818.0;16294.4;-560.7
105;15206.1;-2125.0;14408.7;-660.7
106;16578.4;-3549.5;15820.9;-588.7
107;17204.4;-3891.9;16454.5;-553.7
108;15361.7;-2342.5;14570.8;-653.7
109;16099.3;-3158.4;15331.5;-612.7
110;16429.8;-3451.9;15669.8;-604.7
111;14916.8;-1693.5;14106.4;-679.8
112;16735.3;-3648.5;15980.1;-580.7
113;17318.7;-3938.4;16569.6;-547.7
114;15463.4;-2470.4;14675.9;-650.7
115;16775.6;-3679.3;16021.1;-581.7
116;14980.0;-1792.3;14172.4;-677.8
117;16352.7;-3371.2;15590.7;-594.7
118;14659.3;-1247.7;13835.1;-694.1
119;17626.8;-4022.5;16878.9;-528.6
120;16841.6;-3712.5;16088.2;-571.7
121;16364.4;-3378.3;15602.7;-591.7
122;15550.2;-2580.8;14766.0;-644.7
123;17793.7;-4072.7;17046.1;-520.6
124;18567.9;-4111.5;17815.8;-480.6
125;14401.6;-749.5;13561.9;-709.3
126;17754.0;-4051.9;17006.0;-522.6
127;18188.4;-4122.2;17439.4;-502.6
128;16758.9;-3668.3;16004.1;-582.7
129;15100.6;-1977.5;14298.6;-669.7
130;17338.6;-3945.3;16589.6;-545.6
131;16195.8;-3249.3;15430.6;-609.7
132;15738.0;-2798.1;14960.2;-633.7
133;15064.9;-1927.8;14261.5;-672.7
134;16995.1;-3790.7;16243.3;-561.7
135;17262.9;-3919.8;16513.6;-552.7
136;15715.7;-2775.6;14937.1;-637.7
137;16962.5;-3779.8;16210.3;-568.7
138;15158.9;-2066.9;14359.6;-668.7
139;17272.0;-3917.8;16522.6;-549.7
140;16444.7;-3457.5;15684.8;-600.7
141;16188.1;-3241.9;15422.6;-610.7
142;16278.1;-3314.2;15514.7;-600.7
143;17343.6;-3939.5;16594.7;-539.6
144;17215.2;-3899.2;16465.5;-554.7
145;16969.4;-3777.9;16217.3;-563.7
146;16542.1;-3520.7;15783.9;-590.7
147;16478.2;-3478.9;15718.8;-596.7
148;17070.4;-3827.1;16319.4;-557.7
149;16643.6;-3589.4;15887.0;-584.7
150;17138.8;-3865.8;16388.5;-558.7
151;16055.2;-3120.3;15286.5;-615.7
152;13807.6;659.1;12923.3;-744.8
153;17534.8;-4011.1;16786.8;-535.6
154;18822.3;-4073.5;18067.0;-464.6
155;16873.5;-3725.1;16120.2;-568.7
156;16281.1;-3315.0;15517.7;-599.7
157;16241.1;-3284.3;15476.6;-605.7
158;16262.5;-3298.7;15498.6;-600.7
159;16409.2;-3438.1;15648.8;-606.7
160;15181.1;-2097.0;14382.6;-667.7
161;15832.3;-2892.3;15057.2;-624.7
162;15318.4;-2281.6;14525.8;-653.7
163;16663.2;-3603.2;15907.0;-582.7
164;16071.0;-3132.3;15302.5;-614.7
165;16932.8;-3763.4;16180.3;-569.7
