CASO;pATIVA;pREATIVA;dATIVA;dREATIVA
1;20500.7;-3225.9;19700.5;-380.6
2;14912.0;-1684.9;14101.4;-678.8
3;15111.0;-1992.7;14309.6;-667.7
4;13831.3;593.2;12949.3;-739.8
5;18546.5;-4109.4;17794.7;-477.6
7;20811.6;-2934.5;19997.7;-360.5
8;14558.8;-1064.0;13729.0;-700.2
9;17177.7;-3879.1;16427.5;-555.7
10;15785.7;-2852.0;15009.2;-634.7
11;20074.7;-3547.1;19290.1;-403.6
13;15603.3;-2642.7;14821.0;-640.7
14;15454.6;-2463.0;14666.9;-652.7
15;19232.5;-3973.0;18470.4;-447.6
16;13764.7;780.0;12876.3;-748.9
17;15972.5;-3037.5;15201.4;-619.7
18;14282.2;-499.7;13434.8;-716.4
19;16493.9;-3489.2;15734.9;-594.7
20;17835.7;-4082.4;17088.1;-518.6
21;13763.7;783.0;12875.3;-747.9
22;19259.4;-3958.8;18496.4;-445.6
23;18640.7;-4103.0;17887.8;-475.6
24;17637.9;-4021.8;16889.9;-526.6
25;18639.6;-4103.2;17886.8;-475.6
26;14738.9;-1394.2;13919.2;-692.0
27;16087.5;-3147.2;15319.5;-612.7
28;14143.8;-192.6;13286.6;-725.5
29;15739.9;-2799.5;14962.2;-632.7
30;17704.9;-4041.2;16957.0;-524.6
31;14719.0;-1356.7;13898.2;-692.0
32;15423.6;-2421.9;14634.9;-652.7
33;14734.1;-1387.3;13914.2;-693.0
34;14358.0;-664.4;13515.8;-711.3
35;14768.4;-1448.5;13950.2;-693.0
36;16361.4;-3377.4;15599.7;-592.7
37;13726.3;896.7;12834.2;-748.9
38;16969.4;-3779.0;16217.3;-564.7
39;20587.2;-3154.1;19783.6;-376.6
40;18239.7;-4126.5;17490.5;-500.6
41;15920.8;-2991.6;15148.3;-625.7
42;14258.0;-441.0;13408.7;-715.4
43;14590.9;-1125.7;13763.1;-698.1
44;20674.1;-3072.9;19866.6;-370.5
45;16513.6;-3503.2;15754.9;-593.7
46;14849.5;-1575.0;14035.3;-681.9
47;16862.6;-3722.4;16109.2;-571.7
48;21755.4;-1817.7;20889.6;-321.5
49;16687.8;-3618.2;15932.0;-580.7
50;17919.0;-4092.5;17171.2;-513.6
51;17132.8;-3864.3;16382.5;-559.7
52;15532.5;-2560.4;14748.0;-643.7
53;13669.2;1059.9;12772.2;-750.9
54;15543.3;-2574.0;14759.0;-645.7
55;15879.8;-2949.8;15106.3;-626.7
56;17843.8;-4085.8;17096.1;-519.6
57;18484.8;-4117.7;17733.7;-482.6
58;18715.7;-4094.1;17961.9;-471.6
59;17096.2;-3845.7;16345.4;-560.7
60;18600.1;-4113.4;17847.8;-481.6
61;14573.1;-1088.7;13744.1;-698.1
62;19533.8;-3852.6;18764.6;-434.6
63;17663.0;-4031.7;16914.9;-528.6
64;15665.4;-2714.4;14885.1;-637.7
65;17601.9;-4024.0;16853.9;-536.6
66;16206.7;-3257.1;15441.6;-607.7
67;19225.2;-3979.4;18463.4;-449.6
68;20223.2;-3434.7;19433.2;-391.6
69;21979.2;-1469.2;21097.8;-305.5
70;13099.0;3041.4;12136.6;-783.5
71;12993.3;3462.8;12016.5;-791.6
72;15165.7;-2078.9;14366.6;-670.7
73;16782.4;-3683.6;16028.1;-580.7
74;18574.0;-4111.2;17821.8;-480.6
75;17171.6;-3878.9;16421.5;-557.7
77;15646.1;-2692.9;14865.1;-639.7
78;18451.6;-4115.8;17700.7;-483.6
79;16958.5;-3778.5;16206.3;-568.7
80;18287.0;-4122.4;17537.5;-493.6
81;15848.8;-2910.1;15074.3;-623.7
82;15900.3;-2969.7;15127.3;-625.7
83;16852.5;-3718.7;16099.2;-571.7
84;17405.1;-3968.8;16656.7;-540.6
85;16877.4;-3726.9;16124.2;-567.7
86;16682.9;-3615.9;15927.0;-581.7
87;14769.4;-1449.7;13951.2;-693.0
88;17321.7;-3942.5;16572.6;-549.7
89;16690.9;-3615.5;15935.0;-578.7
90;19222.2;-3976.6;18460.3;-447.6
91;19398.5;-3905.6;18632.5;-437.6
92;16848.7;-3716.5;16095.2;-572.7
93;15477.7;-2489.9;14690.9;-649.7
94;14846.5;-1575.7;14032.3;-684.9
95;17441.0;-3983.2;16692.7;-541.6
96;16586.4;-3552.2;15828.9;-587.7
97;15551.1;-2584.3;14767.0;-646.7
98;16498.8;-3493.9;15739.9;-594.7
99;14891.1;-1651.3;14079.4;-680.9
100;18127.7;-4124.8;17379.4;-507.6
101;15305.2;-2260.1;14511.8;-653.7
102;19465.1;-3872.1;18697.6;-428.6
103;17392.3;-3965.2;16643.7;-542.6
104;17863.7;-4088.5;17116.1;-516.6
105;13776.3;746.5;12889.3;-745.9
106;16805.3;-3687.1;16051.2;-573.7
107;18234.6;-4126.3;17485.5;-500.6
108;14103.9;-93.5;13243.6;-725.6
109;15743.8;-2805.6;14966.2;-634.7
110;16472.3;-3477.2;15712.8;-598.7
111;13150.6;2843.8;12194.6;-785.4
112;17169.6;-3878.1;16419.5;-557.7
113;18502.9;-4114.8;17751.7;-480.6
114;14326.5;-588.0;13481.8;-711.4
115;17259.9;-3920.2;16510.6;-553.7
116;13284.3;2325.9;12345.8;-772.3
117;16296.7;-3332.8;15533.7;-602.7
118;12615.5;5132.7;11585.1;-815.9
119;19198.2;-3974.3;18436.3;-444.6
120;17403.2;-3969.9;16654.7;-542.6
121;16329.2;-3352.4;15566.7;-596.7
122;14519.2;-990.0;13687.0;-704.2
123;19590.1;-3824.5;18819.7;-428.6
124;21401.9;-2271.7;20557.3;-330.5
125;12108.4;8320.6;10981.5;-847.8
126;19494.7;-3866.2;18726.6;-431.6
127;20508.0;-3216.8;19707.5;-377.6
128;17226.0;-3901.7;16476.5;-550.7
129;13543.5;1442.9;12634.0;-759.1
130;18542.5;-4115.4;17790.7;-481.6
131;15949.9;-3019.3;15178.4;-621.7
132;14927.2;-1716.2;14117.4;-682.8
133;13471.7;1685.6;12554.0;-765.1
134;17755.1;-4047.5;17007.0;-520.6
135;18367.6;-4120.8;17617.6;-488.6
136;14881.6;-1635.1;14069.3;-680.9
137;17681.9;-4035.6;16934.0;-526.6
138;13665.8;1073.3;12768.2;-752.0
139;18390.9;-4125.2;17640.6;-491.6
